InterArrivalTime,ServiceTime
7.2311,1.6535
1.2783,5.1322
4.7245,5.7815
4.2335,5.6187
3.6174,1.7749
7.2464,1.1339
3.0405,2.9937
6.6510,4.1355
7.3555,3.7820
6.8794,1.2524
6.6436,5.6541
3.5482,4.4547
1.9052,5.1634
3.2285,4.6860
5.1774,2.8185
6.5648,4.4924
6.7532,5.4973
6.8233,5.5498
7.8244,4.2806
6.6839,1.5137
2.6627,2.8967
5.8947,3.4247
3.9066,4.1933
6.3150,3.7876
5.8542,5.5663
1.1723,5.1869
3.6824,2.4939
1.0441,3.1878
6.1656,2.8788
4.4527,1.0702
2.7461,2.7357
6.5768,5.6920
1.7037,4.6770
7.8351,4.5294
7.6624,5.6392
3.8702,2.6905
6.3838,2.6732
1.5788,5.4928
6.5113,4.5873
4.1079,4.7545
5.6053,2.8035
3.6483,4.2482
1.3895,1.3913
1.6433,5.0255
1.4572,2.1216
2.0649,4.4030
1.8817,2.2868
4.0658,1.5483
3.2020,2.7537
6.3280,1.4943
7.5202,2.6304
3.9864,2.3534
6.5168,3.2666
1.5827,1.3519
3.3082,1.9605
6.8651,1.3084
4.8796,3.8531
4.2348,5.7441
3.4134,5.4222
4.0173,5.9724
6.6035,5.7082
3.6564,3.0271
3.0082,3.2527
6.3558,3.8995
3.6469,4.1120
6.1742,5.5669
4.7247,3.5891
1.7181,1.6083
5.5059,3.2298
1.5343,1.7628
1.5566,5.3969
2.1303,5.6148
1.0251,5.0130
3.1247,2.2238
6.3775,4.5174
7.2032,5.5657
2.5772,3.1074
2.1610,2.0542
6.8793,5.5773
5.7711,3.0463
2.5549,5.1765
6.4372,4.6867
7.0109,5.8626
3.8697,3.9851
6.1691,2.3335
6.3419,5.6525
7.1228,1.5808
7.7710,2.5149
5.2631,1.8388
7.0090,4.6320
1.4558,3.5905
5.1684,3.2896
5.1457,2.5973
6.7388,1.4637
2.2381,2.1036
4.3187,5.5873
7.9408,4.0211
7.4439,2.8332
1.0546,4.2751
2.1764,3.4823
